# Z-Coordinate, Y-Displacement
-3.576279e-09, 1.363913e-02
4.999997e-03, 1.557432e-02
9.999996e-03, 1.755520e-02
1.500000e-02, 1.957326e-02
2.000000e-02, 2.163135e-02
2.500000e-02, 2.371496e-02
3.000000e-02, 2.582695e-02
3.500000e-02, 2.795461e-02
4.000000e-02, 3.009812e-02
4.500000e-02, 3.225091e-02
5.000000e-02, 3.440796e-02
5.500000e-02, 3.657110e-02
5.999999e-02, 3.872944e-02
6.500000e-02, 4.089267e-02
6.999999e-02, 4.304499e-02
7.500000e-02, 4.520177e-02
8.000000e-02, 4.734416e-02
8.499999e-02, 4.949056e-02
9.000000e-02, 5.162105e-02
9.500000e-02, 5.375476e-02
9.999999e-02, 5.587233e-02
1.050000e-01, 5.799193e-02
1.100000e-01, 6.009591e-02
1.150000e-01, 6.220044e-02
1.200000e-01, 6.429024e-02
1.250000e-01, 6.637899e-02
1.300000e-01, 6.845395e-02
1.350000e-01, 7.052627e-02
1.400000e-01, 7.258569e-02
1.450000e-01, 7.464098e-02
1.500000e-01, 7.668408e-02
1.550000e-01, 7.872173e-02
1.600000e-01, 8.074772e-02
1.650000e-01, 8.276711e-02
1.700000e-01, 8.477519e-02
1.750000e-01, 8.677568e-02
1.800000e-01, 8.876505e-02
1.850000e-01, 9.074597e-02
1.900000e-01, 9.271585e-02
1.950000e-01, 9.467655e-02
2.000000e-01, 9.662616e-02
2.050000e-01, 9.856597e-02
2.100000e-01, 1.004945e-01
2.150000e-01, 1.024128e-01
2.200000e-01, 1.043196e-01
2.250000e-01, 1.062155e-01
2.300000e-01, 1.080998e-01
2.350000e-01, 1.099728e-01
2.400000e-01, 1.118339e-01
2.450000e-01, 1.136832e-01
2.500000e-01, 1.155203e-01
2.550000e-01, 1.173452e-01
2.600000e-01, 1.191576e-01
2.650000e-01, 1.209574e-01
2.700000e-01, 1.227444e-01
2.750000e-01, 1.245184e-01
2.800000e-01, 1.262792e-01
2.850000e-01, 1.280266e-01
2.900000e-01, 1.297605e-01
2.950000e-01, 1.314807e-01
3.000000e-01, 1.331870e-01
3.050000e-01, 1.348792e-01
3.100000e-01, 1.365571e-01
3.150000e-01, 1.382205e-01
