# Z-Coordinate, Y-Displacement
-3.576279e-09, 7.427883e-04
4.999997e-03, -2.099830e-04
9.999996e-03, -1.158641e-03
1.500000e-02, -2.116323e-03
2.000000e-02, -3.068204e-03
2.500000e-02, -4.033118e-03
3.000000e-02, -4.992248e-03
3.500000e-02, -5.965684e-03
4.000000e-02, -6.934483e-03
4.500000e-02, -7.916456e-03
5.000000e-02, -8.895900e-03
5.500000e-02, -9.885739e-03
5.999999e-02, -1.087563e-02
6.500000e-02, -1.187247e-02
6.999999e-02, -1.287192e-02
7.500000e-02, -1.387498e-02
8.000000e-02, -1.488281e-02
8.499999e-02, -1.589153e-02
9.000000e-02, -1.690658e-02
9.500000e-02, -1.792057e-02
9.999999e-02, -1.894183e-02
1.050000e-01, -1.996086e-02
1.100000e-01, -2.098751e-02
1.150000e-01, -2.201140e-02
1.200000e-01, -2.304281e-02
1.250000e-01, -2.407140e-02
1.300000e-01, -2.510710e-02
1.350000e-01, -2.614021e-02
1.400000e-01, -2.717985e-02
1.450000e-01, -2.821729e-02
1.500000e-01, -2.926057e-02
1.550000e-01, -3.030213e-02
1.600000e-01, -3.134881e-02
1.650000e-01, -3.239426e-02
1.700000e-01, -3.344415e-02
1.750000e-01, -3.449324e-02
1.800000e-01, -3.554614e-02
1.850000e-01, -3.659862e-02
1.900000e-01, -3.765435e-02
1.950000e-01, -3.870996e-02
2.000000e-01, -3.976835e-02
2.050000e-01, -4.082684e-02
2.100000e-01, -4.188770e-02
2.150000e-01, -4.294883e-02
2.200000e-01, -4.401197e-02
2.250000e-01, -4.507549e-02
2.300000e-01, -4.614072e-02
2.350000e-01, -4.720641e-02
2.400000e-01, -4.827354e-02
2.450000e-01, -4.934115e-02
2.500000e-01, -5.040999e-02
2.550000e-01, -5.147930e-02
2.600000e-01, -5.254963e-02
2.650000e-01, -5.362042e-02
2.700000e-01, -5.469206e-02
2.750000e-01, -5.576411e-02
2.800000e-01, -5.683684e-02
2.850000e-01, -5.790992e-02
2.900000e-01, -5.898355e-02
2.950000e-01, -6.005745e-02
3.000000e-01, -6.113177e-02
3.050000e-01, -6.220629e-02
3.100000e-01, -6.328109e-02
3.150000e-01, -6.435600e-02
3.200000e-01, -6.543108e-02
3.250000e-01, -6.650618e-02
3.300000e-01, -6.758133e-02
3.350000e-01, -6.865641e-02
3.400000e-01, -6.973143e-02
3.450000e-01, -7.080628e-02
3.500000e-01, -7.188096e-02
3.550000e-01, -7.295537e-02
3.600000e-01, -7.402951e-02
3.650000e-01, -7.510329e-02
3.700000e-01, -7.617668e-02
3.750000e-01, -7.724961e-02
3.800000e-01, -7.832205e-02
3.850000e-01, -7.939393e-02
3.900000e-01, -8.046522e-02
3.950000e-01, -8.153585e-02
4.000000e-01, -8.260579e-02
4.050000e-01, -8.367496e-02
4.100000e-01, -8.474334e-02
4.150000e-01, -8.581086e-02
4.200000e-01, -8.687748e-02
4.250000e-01, -8.794315e-02
4.300000e-01, -8.900782e-02
4.350000e-01, -9.007142e-02
4.400000e-01, -9.113394e-02
4.450000e-01, -9.219530e-02
4.500000e-01, -9.325546e-02
4.550000e-01, -9.431437e-02
4.600000e-01, -9.537198e-02
4.650000e-01, -9.642825e-02
4.700000e-01, -9.748312e-02
4.750000e-01, -9.853654e-02
4.800000e-01, -9.958847e-02
4.850000e-01, -1.006389e-01
4.900000e-01, -1.016877e-01
4.950000e-01, -1.027348e-01
5.000000e-01, -1.037803e-01
5.050000e-01, -1.048240e-01
5.100000e-01, -1.058660e-01
5.150000e-01, -1.069061e-01
5.200000e-01, -1.079443e-01
5.250000e-01, -1.089807e-01
5.300000e-01, -1.100150e-01
5.350000e-01, -1.110474e-01
5.400000e-01, -1.120776e-01
5.450000e-01, -1.131058e-01
5.500000e-01, -1.141318e-01
5.550000e-01, -1.151555e-01
5.600000e-01, -1.161771e-01
5.650000e-01, -1.171963e-01
5.700000e-01, -1.182132e-01
5.750000e-01, -1.192277e-01
5.800000e-01, -1.202397e-01
5.850000e-01, -1.212493e-01
5.900000e-01, -1.222564e-01
