# Z-Coordinate, Y-Displacement
9.349999e-01, -4.621174e-02
9.399999e-01, -4.293806e-02
9.449999e-01, -3.965225e-02
9.499999e-01, -3.635522e-02
9.549999e-01, -3.304798e-02
9.599999e-01, -2.973145e-02
9.649999e-01, -2.640657e-02
9.699999e-01, -2.307433e-02
9.749999e-01, -1.973569e-02
9.799999e-01, -1.639165e-02
9.849999e-01, -1.304320e-02
9.899999e-01, -9.691359e-03
9.949999e-01, -6.337150e-03
9.999999e-01, -2.981617e-03
1.005000e+00, 3.741868e-04
1.010000e+00, 3.729184e-03
1.015000e+00, 7.082307e-03
1.020000e+00, 1.043245e-02
1.025000e+00, 1.377854e-02
1.030000e+00, 1.711945e-02
1.035000e+00, 2.045411e-02
1.040000e+00, 2.378148e-02
1.045000e+00, 2.710035e-02
1.050000e+00, 3.040971e-02
1.055000e+00, 3.370854e-02
1.060000e+00, 3.699579e-02
1.065000e+00, 4.027048e-02
1.070000e+00, 4.353164e-02
1.075000e+00, 4.677833e-02
1.080000e+00, 5.000964e-02
1.085000e+00, 5.322471e-02
1.090000e+00, 5.642269e-02
1.095000e+00, 5.960277e-02
1.100000e+00, 6.276415e-02
1.105000e+00, 6.590609e-02
1.110000e+00, 6.902786e-02
1.115000e+00, 7.212871e-02
1.120000e+00, 7.520796e-02
1.125000e+00, 7.826494e-02
1.130000e+00, 8.129897e-02
1.135000e+00, 8.430939e-02
1.140000e+00, 8.729558e-02
1.145000e+00, 9.025689e-02
1.150000e+00, 9.319272e-02
1.155000e+00, 9.610246e-02
1.160000e+00, 9.898554e-02
1.165000e+00, 1.018414e-01
1.170000e+00, 1.046695e-01
1.175000e+00, 1.074693e-01
1.180000e+00, 1.102403e-01
1.185000e+00, 1.129820e-01
1.190000e+00, 1.156939e-01
1.195000e+00, 1.183757e-01
1.200000e+00, 1.210270e-01
1.205000e+00, 1.236473e-01
1.210000e+00, 1.262364e-01
1.215000e+00, 1.287937e-01
1.220000e+00, 1.313191e-01
1.225000e+00, 1.338122e-01
1.230000e+00, 1.362726e-01
1.235000e+00, 1.387000e-01
1.240000e+00, 1.410941e-01
1.245000e+00, 1.434546e-01
1.250000e+00, 1.457810e-01
1.255000e+00, 1.480731e-01
1.260000e+00, 1.503305e-01
1.265000e+00, 1.525526e-01
1.270000e+00, 1.547392e-01
1.275000e+00, 1.568898e-01
1.280000e+00, 1.590039e-01
